PIDN,pH
09gt9UK5,-1.20866090655327
0BVvxJ6a,0.740806262940168
0dTqplIM,0.678864699602127
0KbdgApg,0.097675752453506
0lNiZicC,-1.04613332152367
0MnuuduB,-0.087773770885542
0PcIsF9z,-1.43911761641502
0rGeJ0QN,-0.704358492791653
0ShTFLYJ,-0.514281140547246
0sXI9ytQ,-0.444601434469223
0ukt4aP6,1.88883004784584
0XZh9jka,-0.972156301140785
0Y7Wegri,0.654348164796829
1AGspb8f,-0.976639914512634
1arHxK3Y,1.42292177081108
1Csy0gvE,0.228947973452159
1fCW4Bba,-0.615793278813362
1Ic2hly1,-0.50792663693428
1PPbaTwt,-0.817645785212517
1qDZNvIm,-0.254647110239603
1SO5VJNy,0.0843157591065392
28LYJC2V,-0.972997745871544
2cx85d9H,-0.170008950214833
2CzACvQq,1.7543575823307
2FT3crfv,0.689794166386127
2Fy2uHVg,-0.604070906341076
2homMXMV,-1.27674603462219
2ldLrUtq,0.307141600362957
2MkMEApm,-0.323639724217355
2NDGWEOe,1.58635755777359
2nsACW6G,-1.31317853331566
2NyyCiqn,0.19041101783514
2QcbdrUZ,-0.107084149471484
2QRzIb84,1.77659838199615
2YgAimWK,-0.258137465361506
2yMbVnWc,-1.11584282815456
36r8sgGQ,-0.159276906540617
3fRLm8f5,-0.733622020483017
3mZhp1nQ,-0.234666368365288
3NXAXCl3,-0.993653438985348
3pikJXRL,-1.31508226394653
3pxOEGHL,-0.706301289796829
3QG0z6fl,-1.21157874166965
3ttdV3f5,-0.439738239347935
3v4X6Mfe,2.33536425828934
3wORuPiv,-0.606099888682365
3WS8R9qm,-0.959987843036652
43EfrxZj,-0.229668911360204
457Vwm21,0.363963818922639
46KNnOdx,-1.13552361428738
47TwNsVC,-1.01914507448673
49856RpO,-0.433632956817746
4Ane1o2N,-0.0482022065669298
4AyVUgSc,-0.374319835752249
4B1951On,0.00771151878871024
4eQ90eLY,-0.121780128451064
4o5jwMj8,-0.748025155067444
4OL39Teo,-0.218958167359233
4vPgpl2c,-0.263099639862776
51r9aA0d,0.41131278462708
58SmeRoP,-0.068404677323997
5a8sf6QV,0.455623754858971
5eSvmqYm,-0.111022222368047
5HJp1AXn,-0.508291085064411
5hkN8fiv,-1.25716145038605
5MBZW7fx,0.995166519284248
5Nq3gHaP,-0.0837182975374162
5oK8Gti5,-0.736649097502232
5paniGaU,-0.678304627537727
5RmwFFK3,-0.612060649693012
5Tu5Jbov,-0.381183504313231
5vsr7ZUP,1.30369654297829
5YEolkev,-0.259385675936937
60B4xMWI,0.737288539111614
64jOUtKy,-0.223124430235475
6AJo4xNG,-0.528364975750446
6CAvhEte,-0.79875423014164
6CuGYjT5,1.71909875273705
6DGH8ujZ,-1.24500362873077
6eUWsVzw,1.34476102590561
6gNyO7Do,-0.0103639011853375
6jT0AyHe,1.26020299196243
6nBgCvWu,-0.491079705953598
6PzsGdVm,-0.732938304543495
6ro5mqg6,-0.474806366860867
6sGqObX4,-0.720679597556591
6UcSJMbq,0.739738711714745
6uEGy0n4,2.057332020998
6WJbkH8U,1.90079030990601
7aF7nnwn,-0.689962747879326
7asGzfX9,-0.210731574086822
7BZ4LxP8,-0.012564027775079
7cg7C92o,0.0877032492309809
7CmigXKi,-1.18181368112564
7eOxTpsB,0.0273820072761737
7ey0v7ma,-0.915319260954857
7Ga0LpfR,-0.728410005569458
7gocyrYl,-0.187939294800162
7gqR3GoA,-0.649631801247597
7og7aUXB,0.741981436312199
7onRfa8F,1.06498400270939
7PQsFvsG,-1.4408662378788
7umkNuxM,0.260157372709364
7vPr9ExD,0.141483881184831
7zNjpCzu,-0.423140570521355
7ztsQNj3,-0.0318557929422241
86gppwMI,-1.01884976327419
88thAGdL,-0.149847702984698
8ajs2uG8,-0.4684326056391
8bXnz62p,0.0644624211359769
8GhU8STP,1.27077703475952
