PIDN,SOC
09gt9UK5,-0.674403171241283
0BVvxJ6a,0.395217510312796
0dTqplIM,-0.0633069614705164
0KbdgApg,0.421258020401001
0lNiZicC,-0.664403086900711
0MnuuduB,0.914220499992371
0PcIsF9z,-0.20998932258226
0rGeJ0QN,0.0455952350836014
0ShTFLYJ,-0.867300945520401
0sXI9ytQ,-0.759732291102409
0ukt4aP6,-0.471062895655632
0XZh9jka,0.830183933675289
0Y7Wegri,0.311324566230178
1AGspb8f,-0.0515283909626305
1arHxK3Y,0.368163255602121
1Csy0gvE,-0.603015145659447
1fCW4Bba,-0.448479840904474
1Ic2hly1,0.158877059724182
1PPbaTwt,-0.584898295998573
1qDZNvIm,-0.679218417406082
1SO5VJNy,-0.529853829741478
28LYJC2V,0.421473798900843
2cx85d9H,0.554188320040703
2CzACvQq,-0.320536073669791
2FT3crfv,-0.179757093195803
2Fy2uHVg,-0.55580797791481
2homMXMV,0.0822687530890107
2ldLrUtq,-0.322253462672234
2MkMEApm,-0.591261367499828
2NDGWEOe,-0.704182568192482
2nsACW6G,1.80389630198479
2NyyCiqn,-0.531621742248535
2QcbdrUZ,-0.278725413233042
2QRzIb84,-0.431855872273445
2YgAimWK,-0.39136970192194
2yMbVnWc,2.50055462121964
36r8sgGQ,-0.664730712771416
3fRLm8f5,-0.131741401879117
3mZhp1nQ,-0.550108557939529
3NXAXCl3,0.430719488859177
3pikJXRL,0.171601146925241
3pxOEGHL,-0.669854858517647
3QG0z6fl,-0.545558844506741
3ttdV3f5,-0.360483133606613
3v4X6Mfe,-0.371119433268905
3wORuPiv,-0.178692618384957
3WS8R9qm,2.36873074769974
43EfrxZj,0.405263301730156
457Vwm21,1.04698176383972
46KNnOdx,-0.151242085522972
47TwNsVC,1.06727261245251
49856RpO,-0.17947337096557
4Ane1o2N,-0.37788782119751
4AyVUgSc,-0.595849291980267
4B1951On,-0.188485943991691
4eQ90eLY,0.496665146946907
4o5jwMj8,-0.587324248254299
4OL39Teo,0.34326048232615
4vPgpl2c,-0.518991722166538
51r9aA0d,-0.613498918712139
58SmeRoP,-0.237844635173678
5a8sf6QV,0.354358290508389
5eSvmqYm,-0.505199792981148
5HJp1AXn,0.342230506241322
