PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.470565508306026,0.0716591206146404,-1.2361478805542,-0.588386450707912,0.840404018759727
0BVvxJ6a,0.338150955736637,-0.186415825970471,1.09563549160957,0.0468946017324924,-1.2780194580555
0dTqplIM,-0.0607728950679302,0.120243794575799,0.317120184004307,0.49988906159997,-0.955442118644714
0KbdgApg,-0.0147058024609578,-0.260256430506706,0.1848916354822,0.300083446130157,-0.339294063206762
0lNiZicC,-0.386130064725876,-0.28870902992785,-0.969624322652817,-0.556080617010593,0.460904732719064
0MnuuduB,-0.264051181636751,-0.372540697455406,-0.0584152715280652,0.0303557810373604,-0.378825810458511
0PcIsF9z,-0.160531964153051,-0.299049842730165,-1.34332505166531,0.274491165019572,-0.331537010800093
0rGeJ0QN,-0.375857602059841,0.0062525924295187,-0.605915503948927,0.0287571024498902,-0.29497451223433
0ShTFLYJ,-0.397020333260298,-0.373279607668519,-0.352523490553722,-0.701043549180031,0.599871115386486
0sXI9ytQ,-0.438907471299171,-0.0883674850687385,-0.179367852397263,-0.568301993608475,1.08293585777283
0ukt4aP6,0.416767618246377,0.383128182776272,1.36718945801258,-0.557008276879787,0.166487226076424
0XZh9jka,-0.0750494431704283,-0.467356200236827,-0.231586553528905,0.122345468075946,-0.606351901590824
0Y7Wegri,-0.321879749000072,1.87992769777775,0.495618027448654,-0.188928906619549,0.157620009873062
1AGspb8f,-0.35945318043232,-0.200111267529428,-0.862427443265915,-0.0255189751158468,-0.886248964071274
1arHxK3Y,0.595780110359192,1.10346296206117,1.36852687001228,0.353811307996511,-0.548757404088974
1Csy0gvE,-0.428909352421761,1.03943546712399,0.246710418630391,-0.501727533340454,0.476956508308649
1fCW4Bba,-0.444939187541604,0.188657419197261,-0.409810052532703,-0.50649778470397,0.297028585337102
1Ic2hly1,-0.373260382562876,0.0989990833215415,-0.372212468832731,-0.344500868022442,1.00436522364616
1PPbaTwt,-0.378428460657597,0.41633736314252,-0.782092449069023,-0.525655445456505,1.00462991595268
1qDZNvIm,-0.446824084222317,-0.153207473549992,-0.0621134712710045,-0.752629590034485,0.905747732520103
1SO5VJNy,-0.260927677154541,0.222479320457205,0.13355942114722,-0.426719775795937,0.158373095630668
28LYJC2V,-0.389461098611355,0.117383922825684,-0.998450097441673,0.477145771682262,-0.740185734629631
2cx85d9H,0.128578795678914,-0.252856887597591,-0.0396108742337674,0.169276717305183,-0.778163009881973
