PIDN,P
09gt9UK5,-0.180122227594256
0BVvxJ6a,-0.655511150881648
0dTqplIM,-0.0566708104684949
0KbdgApg,-0.188727784715593
0lNiZicC,-0.239367715269327
0MnuuduB,-0.0926773824729025
0PcIsF9z,-0.170866277278401
0rGeJ0QN,-0.00809448978834553
0ShTFLYJ,-0.396209307573736
0sXI9ytQ,-0.236799613200128
0ukt4aP6,-0.0591907238122076
0XZh9jka,-0.323096194316167
0Y7Wegri,0.302893745282199
1AGspb8f,-0.349469426786527
1arHxK3Y,0.991801429912448
1Csy0gvE,-0.11043470967561
1fCW4Bba,-0.197125884145498
1Ic2hly1,-0.0379682066617534
1PPbaTwt,-0.0743411096744239
1qDZNvIm,-0.183674009237438
1SO5VJNy,-0.0398125282488763
28LYJC2V,-0.186199983581901
2cx85d9H,-0.33844382725656
2CzACvQq,1.43177039921284
2FT3crfv,-0.138491169351619
2Fy2uHVg,-0.0644906232133508
2homMXMV,-0.0273819532245398
2ldLrUtq,-0.328878615703434
2MkMEApm,-0.252647624537349
2NDGWEOe,1.13038896992803
2nsACW6G,-0.463121356070042
2NyyCiqn,-0.0572846038267016
2QcbdrUZ,-0.258232826367021
2QRzIb84,0.918390335142612
2YgAimWK,-0.188213641848415
2yMbVnWc,0.153423356753774
36r8sgGQ,-0.163855822756886
3fRLm8f5,0.0686733510345221
3mZhp1nQ,-0.34753840342164
3NXAXCl3,-0.401480519771576
3pikJXRL,-0.29669661577791
3pxOEGHL,-0.179821970313787
3QG0z6fl,0.131848162226379
3ttdV3f5,1.57937966063619
3v4X6Mfe,0.0810530959628522
3wORuPiv,-0.283655263669789
3WS8R9qm,-0.514740408584476
43EfrxZj,-0.16552242487669
457Vwm21,0.291018101945519
46KNnOdx,-0.221813694760203
47TwNsVC,-0.557006984949112
49856RpO,-0.304790234472603
4Ane1o2N,-0.34871799685061
4AyVUgSc,-0.425807299092412
4B1951On,-0.355601652152836
4eQ90eLY,0.25639502890408
4o5jwMj8,-0.246320977248251
4OL39Teo,0.616265266761184
4vPgpl2c,-0.413774134963751
51r9aA0d,-0.36242917208001
58SmeRoP,1.75543570127338
5a8sf6QV,-0.334761747368611
5eSvmqYm,-0.231415802612901
5HJp1AXn,-0.13867370178923
5hkN8fiv,-0.291385913084378
5MBZW7fx,-0.0567087631672621
5Nq3gHaP,1.2324202939868
5oK8Gti5,-0.150689844600856
5paniGaU,-0.124296407122165
5RmwFFK3,-0.0591447585844435
5Tu5Jbov,0.084090414410457
5vsr7ZUP,-0.371813645400107
5YEolkev,-0.263262359920191
60B4xMWI,0.442407622549217
64jOUtKy,0.304836784582585
6AJo4xNG,-0.0381280257133767
6CAvhEte,0.041230005073885
6CuGYjT5,-0.342816490493715
6DGH8ujZ,-0.131465144082904
6eUWsVzw,-0.524083533836529
6gNyO7Do,-0.252534170821309
6jT0AyHe,0.0961772184586152
6nBgCvWu,-0.155191693454981
6PzsGdVm,-0.0698491429910064
6ro5mqg6,-0.0716882660984993
6sGqObX4,-0.252634922601283
6UcSJMbq,0.18701476464048
6uEGy0n4,0.183843938075006
6WJbkH8U,-0.250931181013584
7aF7nnwn,-0.357450611889362
7asGzfX9,-0.0699095571413636
7BZ4LxP8,-0.423325026035309
7cg7C92o,0.195861615519971
7CmigXKi,-0.138263311819173
7eOxTpsB,-0.287638843758032
7ey0v7ma,-0.415055286884308
7Ga0LpfR,3.77953705787659
7gocyrYl,0.0193455480221019
