PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.564034323394299,-0.588506301492453,-1.12746254205704,-0.741807872056961,0.453679334186018
0BVvxJ6a,0.34258081689477,-0.330010795406997,1.17302300333977,0.221003885939717,-1.21765190660954
0dTqplIM,-0.0870324922725558,-0.267901637963951,0.381614914536476,-0.124847410153598,-1.17218634188175
0KbdgApg,-0.0148487867671065,-0.280247266031802,0.215017972141504,0.143206999963149,-0.902296517789364
0lNiZicC,-0.406666510552168,-0.643466883152723,-1.18935292065144,-0.663870239257813,0.0941506332717836
0MnuuduB,-0.340614562481642,-0.087692004814744,-0.335125419963151,0.533239269256592,-0.828425803780556
0PcIsF9z,-0.562395037710667,-0.547029696637765,-0.877124053239822,-0.0355687246192247,-0.804706008732319
0rGeJ0QN,-0.420364852249622,-0.224952713772655,-0.868776822090149,-0.101121991127729,-0.0864058459177613
0ShTFLYJ,-0.431708239763975,-0.484937014430761,-0.69395978525281,-0.863478571176529,0.657140725851059
0sXI9ytQ,-0.525643682479858,-0.598957866081037,-0.0720121838152409,-0.850449448823929,1.63189887404442
0ukt4aP6,-0.0451876665698364,-0.496245488058776,0.3688720587641,-0.613835650682449,-0.190353814512491
0XZh9jka,-0.313843024335802,-0.284181226789951,-0.936151230335236,0.757293698191643,-0.825534084439278
0Y7Wegri,-0.102023087954149,0.335296367586125,0.418594238907099,0.0727081304998137,-0.0796249132836238
1AGspb8f,-0.517637801170349,-0.143790149281267,-1.05371594727039,-0.0504719666903839,-0.77833546102047
1arHxK3Y,0.543162985146046,0.605818808823824,1.35022894740105,0.0461831078864634,-0.703290094435215
1Csy0gvE,-0.401913638412952,-0.126846596226096,-0.146030893875286,-0.679718381166458,0.815644273161888
1fCW4Bba,-0.440212182700634,0.304127017408609,-0.128358066082001,-0.386578673659824,0.51351175699383
1Ic2hly1,-0.331572024524212,1.26862179175951,-0.58377346303314,0.187660972541198,0.354380090720952
1PPbaTwt,-0.3886195063591,0.125579510629177,-0.0647467404836789,-0.640122491121292,0.910898421704769
1qDZNvIm,-0.438583247363567,-0.243905848823488,-0.483878962695599,-0.703908270597458,1.28968568146229
1SO5VJNy,-0.367771847546101,0.337537652946776,-0.378014524281025,-0.588898003101349,0.764906576275825
28LYJC2V,-0.430862267315388,-0.41452159434557,-1.08515195250511,0.260469336877577,-0.531017867103219
2cx85d9H,0.218994051590562,-0.366115147038363,-0.0323756106779911,0.264710988104343,-0.723427766561508
2CzACvQq,0.26271487660706,0.588022291660309,1.61075384020805,-0.459424459934235,-0.170717055506248
2FT3crfv,-0.348878208547831,-0.719151171291014,0.234023366682231,-0.0832070593489334,-0.856487174332142
2Fy2uHVg,-0.481113985180855,-0.0616207418963313,-0.123128719907254,-0.531039862334728,-0.624685675650835
2homMXMV,-0.449068233370781,-0.570605239318684,-0.722328358888626,-0.125309009151533,0.416373323695734
2ldLrUtq,-0.402546843141317,-0.313197106868029,0.385613788478076,-0.517439630627632,-0.31723157055676
2MkMEApm,-0.387968122214079,0.260473028942943,-0.0587470155674964,-0.529426207393408,0.839137801527977
2NDGWEOe,0.466594264656305,0.926575017720461,1.40059131085873,-0.687636062502861,-0.446953474730253
2nsACW6G,-0.516285859048367,-0.300575985945761,-1.30381437838078,0.989086824655533,-1.31657980084419
2NyyCiqn,-0.384829121828079,0.371332864835858,-0.521300426125526,-0.559317101538181,0.516485533863306
2QcbdrUZ,-0.482881678640842,0.96923583811149,-0.183558941329829,-0.278755999729037,0.558841463178396
2QRzIb84,0.0409179562935606,0.729972931742668,1.87771614193916,-0.387332494556904,0.303593749832362
2YgAimWK,-0.380854898691177,0.157689841836691,-0.32656862793956,-0.464364813268185,0.570621098577976
2yMbVnWc,-0.298494609445333,-0.369795073568821,-1.00521988868713,2.41026527285576,0.889616721868515
36r8sgGQ,-0.358957658708096,0.283468456566334,-0.036599816288799,-0.707038724422455,0.795294272899628
3fRLm8f5,-0.517512165009975,-0.492185482010245,-0.912929770350456,-0.12900257242145,0.245214874995872
3mZhp1nQ,-0.505023977160454,-0.577420847117901,-0.682299113273621,-0.557224421203136,0.254735749401152
3NXAXCl3,-0.491153998672962,-0.469682262884453,-0.99915229678154,0.100730203650892,-1.04609656631947
3pikJXRL,-0.538788050413132,-0.251239992119372,-1.24516642093658,-0.0359423353103921,-1.00410951524973
3pxOEGHL,-0.439281129837036,0.117530750785954,-0.884034180641174,-0.720533812046051,0.846326971054077
3QG0z6fl,-0.449300044775009,-0.15303743891418,-0.776170620322228,-0.664086389541626,0.68359327474609
3ttdV3f5,-0.334419271163642,3.02187387347221,-0.284152156114578,-0.0749106437317096,-0.01696543879807
3v4X6Mfe,0.689292535185814,-0.102989283110946,1.50060976445675,-0.41966340765357,-0.0577389618381858
3wORuPiv,-0.456731896102428,-0.457573191169649,-0.273403718462214,-0.270850858977065,-0.305810183938593
3WS8R9qm,-0.428170111775398,-0.563647707551718,-0.428935587406158,1.82493166923523,-1.19921344816685
43EfrxZj,-0.0648701461730525,0.935806663706899,-0.184699721366633,0.26527494341135,-0.867057949304581
457Vwm21,0.340443587303162,0.0196198456455022,0.649115733802319,0.706141111254692,-0.711414583027363
46KNnOdx,-0.497988867759705,-0.265815300308168,-0.999563124775886,-0.0861409381846897,0.0692205999279395
47TwNsVC,-0.361561637371778,-0.815840238332748,-0.633021008176729,1.06925972104073,-1.51291465461254
49856RpO,-0.410142539441586,-0.383676934428513,-0.482337760180235,-0.214437120570801,-0.713656607270241
4Ane1o2N,-0.466287840902805,-0.43865596242249,0.0499887232668698,-0.506504286825657,-0.220146326348186
4AyVUgSc,-0.292374818248209,-0.570430028438568,0.0271939507336356,-0.618981403112411,0.155536796734668
4B1951On,-0.245040546660312,-0.653499841457233,-0.132241545198485,-0.448124489188194,-0.0543792074546218
4eQ90eLY,-0.17317449208349,-0.0306768143782392,0.0645264202728868,0.150256862677634,-1.01336560249329
4o5jwMj8,-0.412997958064079,-0.133214316796511,-0.837219306826592,-0.645831403136253,0.522408102452755
4OL39Teo,-0.148898495454341,1.08869755044579,-0.212140341009945,0.210885104257613,-0.817394328117371
4vPgpl2c,-0.397516629099846,0.0792007725685835,-0.477073871344328,-0.592592394351959,0.27289278738026
51r9aA0d,-0.13587942905724,-0.407496793940663,0.395509913377464,-0.645698070526123,0.0866350363940001
58SmeRoP,-0.317179433256388,0.609994165599346,-0.105975366011262,-0.235893524065614,-0.422918787226081
5a8sf6QV,0.18813749961555,0.0736501564737409,0.88011280298233,0.120458516222425,-0.965210083127022
5eSvmqYm,-0.420986947417259,1.16036833450198,0.269114270433784,-0.506264117360115,-0.257578933145851
5HJp1AXn,-0.409188848733902,0.62226297929883,-0.759093879163265,0.633408702909946,-0.266594367008656
5hkN8fiv,-0.538177572190762,-0.525831263139844,-1.43568325638771,0.421941909939051,-1.03103084266186
5MBZW7fx,-0.236161790415645,-0.342061655037105,0.041157398186624,-0.636015029251575,-0.732557950913906
5Nq3gHaP,0.0970847296761349,2.57930186390877,0.294619521126151,0.499381536245346,-0.928056833148003
5oK8Gti5,-0.509686191380024,-0.581095234304666,-0.573342869058251,-0.68857077807188,0.976936611533165
5paniGaU,-0.450929644703865,-0.154901478625834,-1.07102495133877,-0.719829991459846,1.01365464925766
5RmwFFK3,0.935253342986107,-0.637556271627545,0.684239017963409,0.21775457682088,-1.32321361005306
5Tu5Jbov,-0.427427199482918,-0.0312180968001485,-0.294198165088892,-0.274923372641206,-0.600549980998039
5vsr7ZUP,0.671661362051964,-0.536810713727027,1.21714831590652,-0.2658342031762,-1.07497442662716
5YEolkev,-0.375729867815971,-0.465486391074955,0.221049709839281,-0.520927479863167,-0.850145076215267
60B4xMWI,-0.3348189227283,0.216298049688339,0.990323081612587,-0.645052593946457,0.38933530151844
64jOUtKy,0.375497528351843,-0.23049786426127,0.918192380177788,1.64427103996277,-0.805689357221127
6AJo4xNG,-0.346330998837948,0.473227029317059,-0.458693135529757,0.187013593688607,0.302466757944785
6CAvhEte,-0.399262940138578,-0.109528265334666,-0.227924103033729,-0.572306698560715,0.675291002355516
6CuGYjT5,2.66381876468658,-0.415084393136203,1.88718031644821,0.121236396161839,-1.43268752992153
6DGH8ujZ,-0.549488510191441,-0.531739751761779,-1.20399378538132,0.0788637398672108,-0.783410540223122
6eUWsVzw,0.66909751445055,-0.512350364401936,1.25689111351967,-0.108339094149414,-0.830908925831318
6gNyO7Do,0.313468430284411,-0.350846841465682,0.162687887903303,0.713864704966545,-0.927677980065346
6jT0AyHe,-0.0640387718332931,-0.586965468525886,0.538110231608152,-0.00774026298895478,-1.22762166857719
6nBgCvWu,-0.449088154733181,1.36419047787786,-0.571109436638653,-0.271559630706906,0.905543985962868
6PzsGdVm,-0.311994516849518,-0.267690805345774,-0.78582439571619,0.488662622123957,-0.857039105892181
6ro5mqg6,-0.35622613504529,-0.239446073872386,0.117408370785415,-0.41714546084404,0.772745916247368
6sGqObX4,-0.448045262694359,-0.437427332252264,-0.666011410951614,-0.436696944758296,-0.871340653300285
6UcSJMbq,-0.262679249420762,0.180824068933725,1.1383188188076,-0.688162890076637,0.182799740694463
6uEGy0n4,1.48377853929996,0.394974331185222,1.82767111063004,-0.601059609651566,-0.80353846102953
6WJbkH8U,0.901812765002251,-0.487536037992686,1.76686586737633,-0.407501751929522,-0.92856577783823
