PIDN,CaIn,PIn,pHIn,SOCIn,SandIn,Ca,P,pH,SOC,Sand
03zzaMZR,-0.11719576564209,-0.391679542903121,-0.454617500622591,-0.0820288862164134,-1.59648386175477,-0.37645033616521,-0.331847517502116,-1.31642284603561,-0.0530534559418918,-1.44390072379103
04U1Aqk3,0.0258163839279368,-0.126781445258502,0.0711666074035389,0.336863185621077,-1.12400454579265,-0.000712995057485139,-0.228093539113523,0.170679490410296,0.783011277986663,-1.1051704016331
04vf843Z,-0.345235911978517,-0.352892978721202,1.17911605899746,-0.617184123606386,1.36747554157401,-0.299220259124592,-0.338764449394689,1.0404940645579,-0.553129558478597,1.11370350643518
08GxKm5r,-0.496879321520528,-0.472511868289957,-0.6752178293591,0.824591418002491,-1.55942133790095,-0.451077152181987,-0.383724506696413,-0.689782238854003,0.884589236314431,-1.46293051717069
08ogPKLc,-0.482683623325548,-0.216689102078335,-1.29264501268938,-0.479408423579535,-0.635938652030834,-0.51066290450546,-0.314555187770684,-1.39124560510207,-0.576570625785005,-0.50382893083586
0bQARPW9,-0.545088618072557,-0.36934477708789,-0.389006726617369,0.814388149982769,-1.05897643180115,-0.449052393607889,-0.380266040750127,-0.381138357704852,0.915843992722975,-0.960543971947684
0CXPnXJd,-0.41990451445249,-0.367122232026277,-0.815087627460004,-0.709851846974253,1.90669726407569,-0.49880360428574,-0.331847517502116,-0.689782238854003,-0.748471786031998,1.82922373751038
0epkJpAY,0.076483938510536,-0.28673913096688,1.7160196408596,-0.503969273101085,0.770472259444343,0.0311046396783499,-0.273053596415247,1.81678018987243,-0.435924221946557,-1.49337818657815
0fqG5kKM,-0.0680146320858151,-0.273911670169555,-0.0193460640656458,0.189485224833369,-0.624156384683463,-0.0845958502701413,-0.210801209382091,0.0490925069272974,0.118847704305101,-0.602783856410089
0kgdqIPr,-0.519771744379227,-0.356691049148112,0.178691094808299,-0.845074955311667,1.73664289735998,-0.454548166880442,-0.373349108857554,0.123915265993758,-0.857863433461902,1.74549264663987
0uMOeHsW,-0.222981794036397,-0.235569855337844,-0.633355977011094,0.167171594548599,-1.36058010719362,-0.322938859564033,-0.342222915340976,-1.02648465465308,0.111034015202965,-1.26502066602223
0WMoNOcR,0.268901530185424,-0.220378527999828,-0.032057449859737,1.22108839553133,-1.13497808387556,0.208704891749284,-0.321472119663257,0.0677981966939131,0.993980883744335,-1.23457299661478
0xqCRTAM,1.09215072032673,0.363560911888754,0.23629498892984,0.460990415464529,-1.19772964327612,1.02265783853692,0.269925557151726,0.133268110877066,0.618923806841806,-1.23837895529071
1BdbDkli,-0.325837034897321,0.0297708298103592,-0.752052752621127,-0.249202514851696,-0.026852981369391,-0.425623044393319,-0.0759210374769189,-0.586900945137619,-0.318718885414516,0.870122151175545
1cOjmcia,-0.0166013877771208,-0.292148195807813,1.30677962855031,-0.452890839108441,-0.41017428235509,0.110070224068195,-0.165841152080367,1.43331354965682,-0.381228398231605,-0.309725038363335
1crlK9ts,1.34879410950876,-0.131259145634858,0.421661685849982,0.043989404291132,-0.808082630070292,1.30352077788688,-0.210801209382091,0.320325008543218,-0.0843082123504359,-0.983379724003276
1G3djb9b,-0.174174352098012,-0.323032898073024,-0.829098219828554,0.514949051360453,-1.00426279844223,-0.232113974954468,-0.231552005059809,-0.848780601870232,0.41576789018627,-0.751216244771432
1H9T4vGf,-0.091413247870476,-0.302470778010474,-0.0670379272162354,-0.754464019018506,0.3558304578909,-0.191618803472496,-0.158924220187794,-0.166022925388777,-0.678148584112774,0.531391829017609
1hbYtzbw,-0.508544585086489,-0.255161377075155,-0.979227906636995,1.91420178357161,-0.160351762062508,-0.438060847062782,-0.152007288295221,-0.951661895586615,5.86190919437508,0.360123688600674
1jtKwpSX,1.30875392380994,-0.173262117467829,1.10282963314313,0.225164246569001,-0.908685733618857,1.20835712490425,-0.0724625715306324,1.00308268502467,0.126661393407237,-0.815917542262273
1JXYT4qf,-0.475187223769054,-0.405101527699999,-0.636808206137177,-0.425182134129464,-0.329237713265773,-0.485498047941663,-0.290345926146679,-0.568195255371004,-0.435924221946557,-0.069949641779627
