PIDN,Sand
09gt9UK5,0.593743424117565
0BVvxJ6a,-1.19266749322414
0dTqplIM,-0.624273662781343
0KbdgApg,-0.889147388935089
0lNiZicC,-0.105324139585719
0MnuuduB,-1.18700589239597
0PcIsF9z,-0.614739583712071
0rGeJ0QN,-0.324958059564233
0ShTFLYJ,0.153673563990742
0sXI9ytQ,1.74635723233223
0ukt4aP6,-0.136588083207607
0XZh9jka,-1.06837885677814
0Y7Wegri,0.361650562193245
1AGspb8f,-1.42682974934578
1arHxK3Y,-0.677618581056595
1Csy0gvE,0.666983073949814
1fCW4Bba,1.03455418050289
1Ic2hly1,-0.0303968417458236
1PPbaTwt,1.56762665510178
1qDZNvIm,1.2194502145052
1SO5VJNy,0.946987015008926
28LYJC2V,-0.548972569406033
2cx85d9H,-1.15422247946262
2CzACvQq,-0.274064201489091
2FT3crfv,-0.447595568560064
2Fy2uHVg,-0.587160082161427
2homMXMV,0.203748177923262
2ldLrUtq,-0.290725842834217
2MkMEApm,0.40284933783114
2NDGWEOe,-0.502272026240826
2nsACW6G,-1.45042554438114
2NyyCiqn,0.774980312585831
2QcbdrUZ,0.282845175266266
2QRzIb84,0.205731168296188
2YgAimWK,0.472863619588315
2yMbVnWc,1.00740262269974
36r8sgGQ,0.955737018585205
3fRLm8f5,0.54800837058574
3mZhp1nQ,0.0346647624857724
3NXAXCl3,-1.29244405627251
3pikJXRL,-1.12163895070553
3pxOEGHL,0.935393762588501
3QG0z6fl,1.23341184556484
3ttdV3f5,-0.252575583476573
3v4X6Mfe,0.153748337202705
3wORuPiv,-0.777568426728249
3WS8R9qm,-1.23487971425056
43EfrxZj,-0.785319250822067
457Vwm21,-0.221603789413348
46KNnOdx,0.528350953757763
47TwNsVC,-1.34581143260002
49856RpO,-0.641404324769974
4Ane1o2N,-0.358062483370304
4AyVUgSc,-0.0299335269257426
4B1951On,-0.424767859652638
4eQ90eLY,-0.456428653001785
4o5jwMj8,0.401124685257673
4OL39Teo,-0.629525646567345
4vPgpl2c,0.339071009866893
51r9aA0d,0.500127656525001
58SmeRoP,-0.412924680672586
5a8sf6QV,-0.760864935815334
5eSvmqYm,-0.599450825899839
5HJp1AXn,-0.259021522337571
5hkN8fiv,-0.686544527625665
5MBZW7fx,-0.615758016705513
5Nq3gHaP,-0.381022398057394
5oK8Gti5,1.03537589907646
5paniGaU,1.03312673866749
5RmwFFK3,-1.42467270493507
5Tu5Jbov,-0.480004235357046
5vsr7ZUP,-1.00197881758213
5YEolkev,-0.497230932861567
